file_id,path,size_bytes,original_bucket,language
rec_audio_call_426852015_audio_1789020900346.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/hindi_fn/rec_audio_call_426852015_audio_1789020900346.mp3,556,FN,hindi
rec_audio_call_424402003_audio_1788786740796.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/tamil_pm/FP/rec_audio_call_424402003_audio_1788786740796.mp3,556,FP,tamil
rec_default_425821479_audio_1788923687023.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/tamil_pm/FP/rec_default_425821479_audio_1788923687023.mp3,544,FP,tamil
rec_audio_call_424061819_audio_1788761138172.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_pm/FP/rec_audio_call_424061819_audio_1788761138172.mp3,556,FP,kannada
rec_audio_call_424160178_audio_1788768576662.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_pm/FP/rec_audio_call_424160178_audio_1788768576662.mp3,556,FP,kannada
rec_audio_call_425227677_audio_1788864023009.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_pm/FP/rec_audio_call_425227677_audio_1788864023009.mp3,556,FP,kannada
rec_audio_call_425331660_audio_1788872745972.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_pm/FP/rec_audio_call_425331660_audio_1788872745972.mp3,556,FP,kannada
rec_default_424664711_audio_1788806280408.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_pm/FP/rec_default_424664711_audio_1788806280408.mp3,544,FP,kannada
rec_default_426300583_audio_1788964950317.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_ef/TP/Multi/rec_default_426300583_audio_1788964950317.mp3,544,TP,kannada
rec_default_426865745_audio_1789021932241.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_fn/rec_default_426865745_audio_1789021932241.mp3,544,FN,kannada
rec_default_426865808_audio_1789021936176.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/kannada_fn/rec_default_426865808_audio_1789021936176.mp3,544,FN,kannada
rec_audio_call_426649270_audio_1788991294711.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_pm/TP/Multi/rec_audio_call_426649270_audio_1788991294711.mp3,556,TP,malayalam
rec_audio_call_423149316_audio_1788673709112.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_pm/FP/rec_audio_call_423149316_audio_1788673709112.mp3,556,FP,malayalam
rec_audio_call_421865241_audio_1788545374865.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_sa/TP/Multi/rec_audio_call_421865241_audio_1788545374865.mp3,556,TP,malayalam
rec_audio_call_425144077_audio_1788858372368.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_sa/TP/Multi/rec_audio_call_425144077_audio_1788858372368.mp3,556,TP,malayalam
rec_audio_call_426667395_audio_1788995980166.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_ef/TP/Multi/rec_audio_call_426667395_audio_1788995980166.mp3,556,TP,malayalam
rec_audio_call_426181043_audio_1788953507532.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_ef/FP/rec_audio_call_426181043_audio_1788953507532.mp3,556,FP,malayalam
rec_audio_call_427030279_audio_1789033769199.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_fn/rec_audio_call_427030279_audio_1789033769199.mp3,556,FN,malayalam
rec_default_427012470_audio_1789032621013.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_fn/rec_default_427012470_audio_1789032621013.mp3,544,FN,malayalam
rec_default_427012497_audio_1789032622211.mp3,/Users/hemapunyamoorty/Desktop/os_moderation/Dostt/malayalam_fn/rec_default_427012497_audio_1789032622211.mp3,544,FN,malayalam
